Rank,AdvRollNo,InsCode,BranchCode
5,6037016,102,4110
6,6041275,102,4110
7,2070521,102,4110
8,1017072,102,4110
9,6040165,102,4110
10,6036358,102,4110
12,6036377,102,4110
13,6016068,102,4110
14,6082309,102,4110
15,6089476,102,4110
16,6039119,102,4110
17,2061203,102,4110
18,6039003,102,4110
19,6035052,104,4110
20,2020422,104,4110
21,1017042,104,4110
22,6097126,104,4110
23,2070173,104,4110
24,7039221,104,4110
25,6037410,110,4110
26,6116187,110,4110
27,2052209,110,4110
28,2043425,104,4110
29,2039128,110,4110
31,1056281,110,4110
34,6038208,110,4110
35,6036125,106,4110
38,6092038,106,4110
39,2020008,104,5216
40,6118093,106,4110
41,4067119,109,4110
42,2048417,109,4110
43,6086059,109,4110
44,6079382,109,4110
45,4005403,109,4110
46,1018144,109,4110
47,7042077,104,5216
48,6090086,102,4110
49,6085154,109,4110
50,6041394,106,4110
51,6040295,102,4110
52,6081156,106,4110
53,7027431,113,4110
54,6038235,109,4110
55,2057014,109,4110
56,1030205,113,4110
57,6133135,102,4110
58,6037276,113,4110
59,2039257,104,5216
60,6039160,110,4110
62,3052066,104,4124
63,6084064,107,4110
64,7013519,102,4111
65,1089199,113,4110
66,6030013,113,4110
67,6092214,107,4110
68,4006397,113,4110
69,7030368,102,4111
70,4012063,104,4124
71,4013026,113,4110
73,1090033,113,4110
74,7013182,104,4124
75,1004204,113,4110
76,2056484,104,4124
77,1075008,102,4111
78,2061184,104,4124
79,6023042,102,4111
80,6016083,117,4110
81,6037427,104,4110
82,6033122,107,4110
83,6032069,106,5216
84,6079040,107,4110
85,6039038,104,4124
86,2064446,117,4110
87,5047095,104,4110
88,6079101,107,4110
89,2051016,106,5216
90,6084241,117,4110
92,6039049,107,4185
93,6035097,117,4110
94,6037005,117,4110
95,1018594,117,4110
96,6038342,106,5216
97,6023020,117,4110
98,6030154,107,4185
99,6076284,106,5216
100,6035139,117,4110
102,2070619,106,5216
103,1003136,117,4110
104,2063142,102,4111
105,6100260,102,4111
106,2051100,116,4110
107,7005315,116,4110
108,6036254,116,4110
109,2043160,104,5254
113,4063100,102,4111
114,2076212,102,4111
115,1077151,104,5254
116,6077197,117,4181
117,6013161,102,5217
118,6014062,116,4110
120,6041279,116,4110
122,2067260,104,4111
123,6088213,117,4181
124,2056018,116,4110
125,6037047,116,4110
128,5047149,104,4111
129,1006121,104,4111
131,1052047,104,5216
132,6086080,105,4110
133,6081401,106,4115
135,7011013,104,4111
137,3022131,109,4203
138,2077078,104,4111
140,6021315,105,4110
141,6041355,105,4110
142,6036230,104,4111
143,6029336,109,4110
144,2071050,104,4111
145,2044546,104,4111
146,6037416,106,4115
147,4022200,107,4124
148,6090057,104,4111
149,3028063,109,4203
150,6098076,106,4115
151,4052201,113,4181
152,6104194,109,4110
153,7029208,104,4111
154,6040213,113,4181
155,1004138,102,4111
157,1072801,117,4124
158,4004290,113,4181
159,7004117,107,4124
160,1085151,109,4110
161,5009200,117,4124
162,4037110,104,4112
164,6076317,117,4124
165,2055424,116,5216
166,2002054,116,5216
167,6080318,104,4124
168,1004095,110,4111
169,2049137,104,4124
170,6040078,106,4115
171,6037106,106,4115
172,6012003,117,4124
173,6099070,110,4111
174,6041016,107,4110
175,6047032,102,4125
176,4059475,104,4112
177,1070219,102,4125
178,6030357,113,4110
181,1100696,102,5217
182,2076286,102,5217
184,2017018,117,4124
185,2046174,104,4112
186,7010535,113,4110
188,1027658,106,4115
190,2052158,102,4117
191,4001443,111,4110
192,6116009,117,4110
193,6116043,111,4110
194,6014167,106,4115
195,6100079,105,4110
196,4060238,110,4111
197,1027092,113,4114
198,2056480,113,4114
199,6035197,110,4111
200,5028238,106,4208
201,2076471,117,4124
202,7011145,106,4208
203,1101383,102,4111
205,6076332,117,4110
206,3026083,102,5217
208,6041005,105,4110
209,6020496,110,4111
210,4030409,109,4203
211,2033417,110,4111
212,2041123,109,4203
213,5048162,113,4114
214,2020227,104,4112
215,4027179,104,4112
216,6016137,105,4110
218,7040030,102,5217
219,6035103,113,4114
220,2068257,102,5217
221,6004110,117,4114
222,6081193,113,4114
223,5044159,110,4111
224,1103041,109,4207
225,1018708,111,4110
226,4060369,115,4110
227,2060064,109,4111
228,2041165,102,5217
230,2064205,104,4192
231,2071031,115,4110
232,4009044,109,4111
233,6092340,113,4114
234,7042066,109,4111
235,7011095,106,4208
236,4066086,102,4101
237,6093271,113,4114
238,1001051,110,4111
239,4050189,109,4111
240,1100624,113,5606
241,6019338,102,4101
242,6099183,110,4111
243,2061279,117,4114
244,3022204,113,4114
245,6084324,113,4114
246,2032420,109,4207
247,4059584,104,4125
249,4043092,109,4111
250,2070277,106,4208
251,1018208,113,4111
252,2059397,117,4114
253,1055247,106,4208
255,4021087,109,4111
256,2070324,117,4114
257,7010613,117,4114
258,7012061,104,4192
259,4065031,115,4110
260,1055083,106,5225
261,2048223,102,4125
262,1055037,102,4125
263,1019132,102,4125
264,1050229,110,4111
265,2040129,102,4125
266,2062335,109,4111
267,7011062,117,4114
268,1074247,107,410A
269,7036197,102,4125
270,7006363,113,5606
271,7029057,109,4111
272,6013094,110,4111
273,1051095,102,5217
274,1091015,113,5606
275,6036095,117,4114
276,6036490,109,4111
277,3030210,109,4111
278,2071045,116,4110
280,1013083,108,4110
281,7034046,109,4111
282,4042317,109,4111
284,1027621,109,4111
285,1118058,102,4125
286,5033341,102,4125
287,2064440,109,4111
288,3038049,106,4111
289,7010142,104,4192
290,4061387,113,4111
291,6014055,106,4111
292,2039240,106,4111
293,2059115,102,4125
294,2070032,113,4111
295,4010037,108,4110
296,6085241,108,4110
297,7036139,102,4125
299,6025468,106,5225
300,2071408,116,4110
301,7011117,102,4125
302,2049169,116,5254
303,4042309,112,4110
304,2072247,113,4111
305,6030363,106,5225
306,1018447,108,4110
307,1013086,104,4111
308,3022429,106,5225
311,6036105,106,4111
313,2069037,113,4111
314,5062098,115,4110
315,2057329,102,4125
316,3039238,112,4110
317,7029067,115,4110
320,2050041,106,5225
321,2070002,113,4111
322,5010177,117,4116
323,2070431,113,4181
324,6039099,105,4110
325,6007015,106,4111
326,6088377,106,4111
327,1101603,116,5254
328,1073273,102,4125
329,1074028,104,4125
330,4017081,116,5254
331,3025740,113,4111
333,7002055,115,4110
334,7015122,113,4111
335,2043487,113,4111
336,1009027,108,4110
337,2061114,102,4107
340,6083172,108,4110
341,6081213,107,4111
342,6090418,114,4110
343,7027412,113,4111
344,6081373,116,5254
345,6130127,114,4110
346,6015066,101,4110
348,2031405,104,4125
349,2021424,116,5254
351,1099119,101,4110
352,1018397,102,4101
354,6036348,101,4110
355,6023125,101,4110
357,7040161,102,4107
358,3025801,117,4116
359,4007199,102,4107
360,6010041,106,5216
361,4060367,113,4111
362,6040051,107,4185
363,1018153,106,4121
364,3038188,102,4107
365,4046020,104,4125
366,2013064,108,4110
367,1013200,111,5216
368,7027014,116,4113
369,7015129,114,4110
370,2024204,107,4111
371,7045133,104,4111
372,1042123,102,4206
374,7030503,112,4110
375,2070233,104,4125
376,3033048,114,4110
377,4015305,102,4202
378,6085496,113,4111
379,6116042,104,4125
380,4007093,105,4110
381,2026077,107,4111
382,2026230,116,4113
383,3031100,117,4116
384,6033410,112,4110
386,6035112,107,4111
388,5044460,116,4113
389,1073092,102,4202
390,7013048,114,4110
391,4027032,116,4113
392,1012026,111,5216
394,1041108,110,4111
395,4061130,106,5222
396,3024631,112,4110
398,1043078,102,4107
399,1003377,108,4188
400,6041294,112,4110
401,1084079,104,4125
402,7015083,114,4110
403,5011043,102,4107
404,3024572,114,4110
405,6032054,116,4113
406,1100462,110,4125
408,4029087,109,4125
409,6085474,114,4110
410,2050033,102,5235
411,1003147,102,5235
412,4003050,109,4125
413,6019311,106,4121
414,6019315,114,4110
415,6025439,112,4110
416,7005374,102,4107
417,4032386,106,4121
418,1043290,107,4111
419,1018424,103,4110
420,7005248,115,4124
422,6078107,108,4188
423,6039200,106,5222
425,4062058,117,4116
426,1014111,114,4110
427,7010077,103,4110
428,6030192,110,4111
429,1055333,102,4107
430,4021390,117,4116
431,7025039,106,4125
432,7039158,109,4202
433,1014081,116,4113
435,4006257,116,4113
436,2059261,103,4110
437,2064133,102,4202
438,2043122,102,4107
440,2062034,102,4107
441,2039291,102,4107
441,2004177,115,4124
443,4059356,116,4113
444,4006024,104,4107
445,5001044,102,5217
446,2044026,106,4125
447,2053453,104,4107
449,5004315,116,4113
450,7010126,116,4113
451,6037236,117,4181
452,3044016,108,4188
453,6118007,116,4113
454,2076310,103,4110
456,6091426,108,4188
457,1070065,102,4109
458,7043127,112,4188
459,6025373,101,5216
460,1106015,119,4110
461,4015039,102,4107
462,5001107,103,4110
463,7018108,115,4124
464,2048025,102,4101
466,3016066,103,4187
467,4035308,112,4188
468,6041243,107,410T
469,6076333,110,4111
471,4001465,106,5222
473,4066163,109,4125
475,1100250,111,4110
476,6029439,106,4115
477,6011035,116,4111
478,6090110,112,4188
479,6093353,117,4124
480,3018008,105,4111
481,4008143,104,4107
483,2059099,102,4109
485,6081127,106,4115
487,4044062,109,4125
488,2002264,104,4198
489,4019056,102,4117
490,4037360,104,4107
492,6029034,112,4188
493,1072103,102,4101
496,3017131,102,4101
498,2015021,104,4107
499,2041746,116,4111
500,4061360,107,410T
501,7039128,116,4111
502,6041380,106,4111
503,6029175,119,4110
504,6086320,109,4203
505,4010009,110,4125
507,1003190,105,4111
509,2052341,102,4109
511,5016219,104,4107
513,4033152,106,4121
517,6016053,121,4110
519,6037426,119,4110
521,6082330,103,4187
522,2071038,104,4109
524,5010335,109,4125
527,5001043,109,4125
528,6024074,121,4110
529,7010173,104,4109
530,2031001,104,4109
531,1073079,121,4110
532,6030083,116,4111
534,5003145,104,4198
535,7029100,105,4111
537,2071483,121,4110
538,1099539,105,4111
539,6102064,110,4125
540,4065056,109,4125
541,7041015,104,4112
542,4030217,104,4136
543,6040116,110,4125
544,6008086,116,5216
545,1079181,110,4101
546,6038026,109,4202
547,6035106,110,4125
548,1085152,107,4118
549,2058034,109,4125
552,3027059,109,4125
553,6103195,110,4125
554,4026001,109,4125
555,3021413,105,4111
556,6080479,102,4125
557,2022216,116,4111
559,3044062,109,4125
561,5030267,116,4111
563,6096168,105,4111
564,1056150,102,4206
568,2041617,116,4111
569,2014357,114,5305
570,6019410,123,4110
571,5061225,116,4111
572,1068141,102,4128
573,4044047,104,4198
574,6110046,120,4110
575,2062244,116,4111
576,5041113,106,4125
577,4011277,102,4109
578,6033243,105,4111
579,6024189,123,4110
580,6076488,110,4107
581,4065226,110,4125
582,2041660,102,4198
584,5061249,109,4111
585,1056153,102,4198
586,6015071,117,4124
587,6040236,120,4110
588,4008177,113,4114
589,4034138,109,4107
591,5063098,109,4207
592,4035485,109,4125
593,2057183,110,4101
594,7033369,120,4110
595,4027008,109,4111
597,2050454,113,4125
598,1004367,110,4125
599,3038286,110,4125
600,7044371,114,5305
602,6031021,110,4125
603,6025113,110,4125
606,2041653,110,4125
607,5043089,106,4125
609,7030165,102,4117
610,6037015,113,4114
611,7011299,117,4114
612,1005021,107,4111
613,2062173,102,4128
614,6014007,101,4114
615,2064252,113,4107
616,3017083,102,4109
617,1004235,104,4136
618,4035001,109,4101
619,6029177,107,4118
620,6083410,110,4125
621,2042021,113,4125
622,4029165,109,4101
623,5031061,106,4125
624,1018770,102,4198
627,2053008,102,4109
628,6094062,110,4117
630,4008048,102,4109
631,6122102,107,4118
632,3016163,106,4125
634,3016115,110,4125
635,6094064,111,4111
637,6080156,110,4125
639,2076049,110,4125
640,2060580,104,4117
641,1075118,102,4117
642,4002289,102,4109
644,7003055,113,4125
646,6033440,102,4125
647,6087452,113,5606
649,5029148,102,4117
650,4035349,109,4202
651,4016372,102,4198
652,7013427,114,5305
654,6096115,114,5305
655,3039321,102,4109
656,7011413,109,4107
658,6108108,101,4114
659,2074001,110,4125
662,6014122,101,4114
664,4028248,116,5223
665,7036050,104,4109
667,7033042,109,4107
668,7032051,104,4109
669,2004114,110,4125
670,6038087,117,4114
671,4004443,104,4136
672,7026018,106,4125
673,6030073,109,4111
674,4005150,102,4202
675,6004200,114,4114
676,5044135,110,4107
678,2067046,102,4109
679,6083011,117,4116
680,2044192,102,4109
681,1003199,111,4111
682,5004250,123,4110
683,1107138,109,4101
684,4011070,102,4128
685,7004043,106,4125
686,4018107,106,4125
687,2071056,102,4109
688,6041165,106,5225
689,7003131,104,4117
690,2065096,102,4128
691,2027090,104,4109
692,1099132,122,4110
693,4011199,102,4109
694,4001065,113,4125
695,5003264,102,4128
696,5017101,106,4107
697,2075130,104,4109
698,6039189,114,4114
699,2059137,116,5223
701,4008342,113,4125
703,6038412,113,4125
705,4064101,109,4111
706,6086304,107,4125
707,6016169,113,4111
708,6093283,110,4107
710,7037425,113,4125
711,6103052,123,4110
712,7002178,115,4110
713,2039113,104,4109
714,2057312,104,4136
715,2042139,111,4111
716,3023104,110,4107
718,2030022,113,4125
719,2048036,123,4110
720,1093023,110,5227
721,5015024,113,4125
722,2071055,113,4125
723,1055129,104,4117
724,3025409,109,4107
726,2023363,113,4125
727,2067243,118,4110
728,7013463,114,4114
729,3024025,113,4125
730,6025322,114,4110
731,2042090,106,5239
735,7010534,109,4107
737,4051170,109,4107
740,1013130,122,4110
741,2072165,104,4117
743,2019394,112,4208
745,4035441,114,4114
746,6037346,110,4107
748,3017106,104,4136
749,6035163,114,4114
750,1056106,102,4128
751,1068385,110,4101
751,2042147,104,4136
753,2044260,102,4128
754,6132117,110,4107
756,1019199,113,4111
757,4017008,109,4107
760,6101105,114,4114
761,4004445,102,4128
762,4059591,109,4107
763,7006083,122,4110
764,2062237,104,4117
765,2073314,109,4202
766,7010521,114,4114
767,1099075,114,4114
769,1095029,110,4117
770,3013034,114,4114
771,3024625,117,4125
772,4060203,110,4109
773,6089343,110,4117
775,5002102,102,4128
777,1055388,102,4128
781,6038457,118,4110
782,2075058,117,4125
785,7005319,113,4107
787,6111056,101,4110
790,4060479,113,4111
791,6008102,118,4110
792,7038058,102,4128
793,1101093,102,4128
795,2058230,114,4114
796,7010297,110,4107
797,3028310,117,4125
798,2018063,106,4107
801,2043164,106,5239
803,1102134,107,4117
804,1103057,109,4101
806,6089275,110,4109
807,7005005,117,4125
809,4066131,111,4111
810,6078456,110,4107
811,6019141,110,4101
813,3031111,106,4170
815,6039166,118,4110
816,2025366,104,5210
817,6036350,114,4110
818,1056119,106,4202
821,6035180,106,4170
823,7022231,113,4136
824,1018782,112,4208
828,7033204,104,4136
829,3040236,101,4111
831,7011352,104,5210
834,1088108,119,4124
835,5033183,106,5239
838,7019019,110,4107
839,4049054,118,4181
840,2009338,117,4125
841,2032081,104,4193
842,2059258,109,4101
843,1099560,107,4125
844,3041044,117,4125
845,3002222,117,4125
846,6030288,110,4109
848,2015359,115,4111
849,7019262,112,4208
850,7030513,104,4105
851,2052282,108,4110
852,2065164,104,5210
853,7013022,109,4101
854,2053259,102,520C
855,1001068,104,5210
857,1073039,115,4110
859,4009136,104,4105
861,2056360,113,4136
862,1056264,110,4101
863,2064216,113,4107
864,2041409,113,4107
865,1099620,104,4193
866,6024187,115,4111
867,1020069,106,4107
868,7010500,116,5254
872,6038467,110,4109
873,4016418,106,5239
874,2071487,104,4193
876,1018098,113,4107
877,2060587,117,4125
881,2019136,109,4109
882,7010491,106,4107
883,2025140,109,4109
885,3038110,106,4170
886,7013256,110,4109
887,4024093,104,4105
888,7027284,113,4107
892,5005279,113,4136
894,4003047,104,4105
895,4032153,112,4208
896,4061013,116,4113
897,2011146,117,4125
898,6030147,106,5222
899,2009236,118,4181
901,4008146,108,4111
904,4017013,109,4109
905,2039251,113,4107
906,1099045,106,4109
907,7027023,106,4107
910,2022068,104,4105
912,6039103,117,4125
914,4003345,113,5608
916,2049247,106,4107
917,1072843,119,4124
918,4061053,103,4111
919,1082115,107,4125
920,4012026,113,4107
922,1056004,109,4109
923,6038381,110,4109
925,1068067,108,4111
926,4021185,113,4109
927,5020147,106,5239
932,4029206,115,4111
933,2069055,106,4202
934,4019033,102,4107
935,2072070,106,4101
936,2041421,120,4187
937,7048165,104,4105
938,6036088,110,4109
939,3025297,113,4107
940,2043073,113,5608
942,5045213,102,4125
944,5061417,115,4111
945,1085014,102,520C
946,1040238,111,5217
947,7011382,116,4113
948,5028282,116,4113
949,3027195,104,4139
950,3032087,106,5201
952,7043118,104,4139
953,5043068,106,5239
954,7035116,113,4117
955,6111094,107,4125
956,4058181,104,4192
957,7044180,104,4107
958,2067033,102,4125
959,6033297,101,4114
961,6110097,106,4101
962,2063057,117,4107
963,6032187,110,5227
964,6041114,107,410A
965,6008015,116,4125
966,6093037,110,5201
967,1115046,110,5227
968,7032227,123,4124
969,1094247,102,520C
970,4019175,104,4139
971,2025043,109,4109
973,6032158,115,4111
974,2041271,106,4101
975,2026120,108,4188
976,4007423,106,4101
977,4033065,114,4111
978,3038019,117,4107
979,4032106,109,4109
980,4006399,114,4110
981,7010146,116,4125
982,2039460,110,4109
983,5028265,106,4109
984,7011415,110,4109
985,7032121,104,4139
986,7002129,107,4125
987,2030172,113,4109
988,1053096,120,4187
989,6088155,101,4111
990,4043120,119,4124
992,1064120,112,4144
994,7002289,116,4125
995,2015386,117,4107
996,2032060,106,5201
999,7047037,112,4144
1001,4018386,102,520C
1003,2071326,109,4109
1004,6041499,110,4109
1007,2055417,104,4107
1009,2062340,110,4127
1010,6019304,109,4109
1011,7003244,113,4109
1012,2016192,109,4103
1014,1046059,106,5241
1015,7042061,113,4109
1016,2025060,104,4139
1017,7026083,113,4117
1019,2059007,117,4107
1020,6125088,112,4110
1021,2050343,114,4111
1024,4008096,109,4109
1027,1101470,110,5227
1029,6041285,101,4111
1030,7037218,104,4139
1032,3034133,117,4107
1033,4007421,106,4202
1035,4031037,106,4202
1036,6029051,114,4111
1037,1068428,110,4127
1038,4013109,109,4123
1039,4015094,106,5210
1040,1105018,117,4107
1042,2022245,104,4139
1043,2045068,106,5241
1044,6084465,111,5217
1045,7048149,109,4109
1046,5055231,106,4109
1048,2055234,110,5602
1049,5010138,114,4111
1050,6020121,114,4111
1052,4036146,104,4139
1054,2060159,115,4111
1057,3042088,112,4144
1058,1085224,104,4125
1060,4062118,113,4117
1062,4049254,113,4117
1063,4040113,112,4144
1065,2076254,114,4111
1066,4059538,116,4125
1067,6015015,116,4111
1068,6098452,114,4111
1069,5050044,116,4125
1071,1060095,106,4122
1072,2001299,109,4123
1073,2050084,116,4125
1075,2076153,107,4107
1076,4059336,109,4109
1077,2028082,117,4198
1078,3039299,109,4109
1079,3031442,109,4123
1080,5003094,114,4111
1081,2009407,106,4109
1082,6037256,115,4111
1083,1018112,113,4109
1084,7037080,105,4111
1085,7040131,116,4125
1087,1074031,103,4110
1088,3021042,106,5210
1089,1102078,108,4111
1090,4029073,116,4107
1091,4035288,112,4144
1092,7033425,117,4198
1095,6040124,103,4111
1096,6019248,105,4111
1097,2069448,101,4111
1099,2019277,103,4111
1100,3010115,103,4111
1101,6039253,121,4110
